GEOID_2010,poverty,total,som_total,other_lang_total,other_very_well,other_less,geometry
27053007700,9,5289,266,495,295,200,"list(c(-93.298279, -93.295731, -93.290649, -93.288094, -93.283012, -93.277946, -93.27668, -93.276642, -93.277901, -93.288071, -93.298256, -93.298266, -93.298279, 44.948364, 44.948364, 44.948364, 44.948364, 44.948359, 44.948353, 44.948353, 44.951939, 44.951942, 44.95195, 44.951954, 44.950321, 44.948364))"
27053007801,38.9,1809,195,287,214,73,"list(c(-93.277901, -93.276642, -93.27668, -93.274627, -93.274492, -93.271696, -93.27021, -93.272766, -93.277878, -93.277893, -93.277901, 44.951942, 44.951939, 44.948353, 44.948353, 44.949887, 44.953748, 44.955528, 44.955532, 44.955532, 44.953743, 44.951942))"
27053008100,18.6,3676,22,75,75,0,"list(c(-93.298355, -93.295815, -93.290726, -93.28817, -93.288139, -93.288094, -93.290649, -93.295731, -93.298279, -93.298317, -93.298355, 44.941326, 44.941328, 44.941332, 44.94133, 44.944736, 44.948364, 44.948364, 44.948364, 44.948364, 44.944691, 44.941326))"
27053008200,33.7,3690,392,531,100,431,"list(c(-93.28817, -93.281387, -93.277916, -93.277939, -93.277946, -93.283012, -93.288094, -93.288139, -93.28817, 44.94133, 44.941338, 44.941345, 44.944748, 44.948353, 44.948359, 44.948364, 44.944736, 44.94133))"
27053008300,29.6,2002,332,364,240,124,"list(c(-93.277939, -93.277916, -93.274864, -93.274586, -93.270203, -93.270309, -93.274627, -93.27668, -93.277946, -93.277939, 44.944748, 44.941345, 44.941364, 44.941359, 44.941372, 44.948353, 44.948353, 44.948353, 44.948353, 44.944748))"
27053008400,20,2442,171,259,168,91,"list(c(-93.270203, -93.267654, -93.266388, -93.262566, -93.26266, -93.262672, -93.266502, -93.267761, -93.270309, -93.270203, 44.941372, 44.941383, 44.941377, 44.941367, 44.946559, 44.948357, 44.948353, 44.948353, 44.948353, 44.941372))"
27053008500,21.9,4035,32,67,60,7,"list(c(-93.26266, -93.262566, -93.262546, -93.260029, -93.254967, -93.25243, -93.249901, -93.249947, -93.249951, -93.249939, -93.252502, -93.256317, -93.257584, -93.262672, -93.26266, 44.946559, 44.941367, 44.939556, 44.939548, 44.939548, 44.939548, 44.939548, 44.944752, 44.946562, 44.948368, 44.948364, 44.948359, 44.948364, 44.948357, 44.946559))"
27053009500,13.4,3040,0,7,7,0,"list(c(-93.267593, -93.26754, -93.26754, -93.267555, -93.262512, -93.262474, -93.262475, -93.262527, -93.262546, -93.262566, -93.266388, -93.267654, -93.267593, 44.937775, 44.934158, 44.93055, 44.926937, 44.926943, 44.930544, 44.934148, 44.937761, 44.939556, 44.941367, 44.941377, 44.941383, 44.937775))"
27053009600,19.2,3318,51,51,51,0,"list(c(-93.262527, -93.262475, -93.262474, -93.262512, -93.256187, -93.254929, -93.254936, -93.254929, -93.25494, -93.254967, -93.260029, -93.262546, -93.262527, 44.937761, 44.934148, 44.930544, 44.926943, 44.926934, 44.926935, 44.930531, 44.934139, 44.935938, 44.939548, 44.939548, 44.939556, 44.937761))"
27053010600,7.1,3455,0,0,0,0,"list(c(-93.318871, -93.318855, -93.313774, -93.308701, -93.303581, -93.29847, -93.297981, -93.297966, -93.298401, -93.300049, -93.303162, -93.308746, -93.310699, -93.313843, -93.314049, -93.312173, -93.311646, -93.315071, -93.318901, -93.318871, 44.9179, 44.912449, 44.912403, 44.912365, 44.912347, 44.912334, 44.912331, 44.915108, 44.915955, 44.917007, 44.915596, 44.915443, 44.915871, 44.917988, 44.919174, 44.92237, 44.923023, 44.923458, 44.923336, 44.9179))"
27053010700,6.9,2539,0,0,0,0,"list(c(-93.300049, -93.298401, -93.288292, -93.288315, -93.288284, -93.290817, -93.295578, -93.296326, -93.297982, -93.299591, -93.300049, 44.917007, 44.915955, 44.915939, 44.919567, 44.926807, 44.926805, 44.926788, 44.923428, 44.919571, 44.917377, 44.917007))"
27053011000,5.5,3712,0,83,26,57,"list(c(-93.262642, -93.251076, -93.251128, -93.247307, -93.247269, -93.247269, -93.247322, -93.247322, -93.247322, -93.25238, -93.254929, -93.256187, -93.262512, -93.262535, -93.262558, -93.262611, -93.262642, 44.916107, 44.916092, 44.915512, 44.916056, 44.916054, 44.919716, 44.925133, 44.925148, 44.926941, 44.926937, 44.926935, 44.926934, 44.926943, 44.925139, 44.923325, 44.919716, 44.916107))"
27053011703,19,4058,0,0,0,0,"list(c(-93.262665, -93.257629, -93.253845, -93.253258, -93.249302, -93.247513, -93.247322, -93.247307, -93.247307, -93.251128, -93.251076, -93.262642, -93.262642, -93.262642, -93.262642, -93.262665, 44.903414, 44.903442, 44.903431, 44.903633, 44.900874, 44.900906, 44.91066, 44.915076, 44.916056, 44.915512, 44.916092, 44.916107, 44.912483, 44.911194, 44.910679, 44.903414))"
